"country","year","age","sex","pop"
"AT",2022,"Y15-64","F",2942636
"AT",2021,"Y15-64","F",2942618
"AT",2020,"Y15-64","F",2941227
"AT",2019,"Y15-64","F",2934892
"AT",2018,"Y15-64","F",2929867
"AT",2017,"Y15-64","F",2920008
"AT",2016,"Y15-64","F",2904851
"AT",2015,"Y15-64","F",2879465
"AT",2014,"Y15-64","F",2862962
"AT",2013,"Y15-64","F",2851560
"AT",2012,"Y15-64","F",2843756
"AT",2011,"Y15-64","F",2831855
"AT",2010,"Y15-64","F",2815524
"AT",2009,"Y15-64","F",2810585
"AT",2008,"Y15-64","F",2800167
"AT",2007,"Y15-64","F",2789692
"AT",2006,"Y15-64","F",2786764
"AT",2005,"Y15-64","F",2780851
"AT",2004,"Y15-64","F",2771829
"AT",2003,"Y15-64","F",2749564
"AT",2002,"Y15-64","F",2728959
"AT",2001,"Y15-64","F",2707779
"AT",2000,"Y15-64","F",2694396
"AT",1999,"Y15-64","F",2679733
"AT",1998,"Y15-64","F",2670279
"AT",1997,"Y15-64","F",2662436
"AT",1996,"Y15-64","F",2654561
"AT",1995,"Y15-64","F",2652798
"AT",1994,"Y15-64","F",2653155
"AT",1993,"Y15-64","F",2644377
"AT",1992,"Y15-64","F",2622131
"AT",1991,"Y15-64","F",2601587
"AT",1990,"Y15-64","F",2589567
"AT",1989,"Y15-64","F",2581949
"AT",1988,"Y15-64","F",2587107
"AT",1987,"Y15-64","F",2595066
"AT",1986,"Y15-64","F",2597802
"AT",1985,"Y15-64","F",2597309
"AT",1984,"Y15-64","F",2583172
"AT",1983,"Y15-64","F",2556338
"AT",1982,"Y15-64","F",2534220
"AT",1981,"Y15-64","F",2498619
"AT",1980,"Y15-64","F",2473950
"AT",1979,"Y15-64","F",2461064
"AT",1978,"Y15-64","F",2450998
"AT",1977,"Y15-64","F",2438161
"AT",1976,"Y15-64","F",2425838
"AT",1975,"Y15-64","F",2428672
"AT",1974,"Y15-64","F",2430999
"AT",1973,"Y15-64","F",2420693
"AT",1972,"Y15-64","F",2411686
"AT",1971,"Y15-64","F",2405973
"AT",1970,"Y15-64","F",2407719
"AT",1969,"Y15-64","F",2414966
"AT",1968,"Y15-64","F",2426172
"AT",1967,"Y15-64","F",2430592
"AT",1966,"Y15-64","F",2436870
"AT",1965,"Y15-64","F",2444541
"AT",1964,"Y15-64","F",2453243
"AT",1963,"Y15-64","F",2456729
"AT",1962,"Y15-64","F",2459173
"AT",1961,"Y15-64","F",2469131
